"X33333","X66667","X1e.05"
"354",15,892,921
"355",147,337,334
"356",598,448,556
"357",417,65,561
"358",441,37,584
"359",796,876,56
"360",903,538,705
"361",221,708,904
"362",535,797,505
"363",496,562,183
"364",75,406,711
"365",823,442,4
"366",910,531,312
"367",269,610,871
"368",762,143,547
"369",500,616,801
"370",326,905,568
"371",522,947,907
"372",935,446,592
"373",296,115,781
"374",635,605,5
"375",310,639,949
"376",730,806,76
"377",309,285,306
"378",843,485,900
"379",710,136,7
"380",717,574,771
"381",197,403,809
"382",443,751,418
"383",39,249,245
"384",305,789,755
"385",268,329,452
"386",258,149,124
"387",518,473,880
"388",172,409,852
"389",421,439,466
"390",173,168,804
"391",902,825,397
"392",614,487,652
"393",926,139,380
"394",456,155,479
"395",469,618,178
"396",922,581,923
"397",467,682,280
"398",440,601,99
"399",57,53,133
"400",414,343,13
"401",631,356,687
"402",603,402,530
"403",131,208,746
"404",759,665,482
"405",375,238,743
"406",246,659,668
"407",225,673,733
"408",657,688,387
"409",950,134,617
"410",162,328,165
"411",768,159,304
"412",213,735,157
"413",54,330,389
"414",127,894,226
"415",888,393,388
"416",840,12,936
"417",274,210,299
"418",37,649,944
"419",779,576,608
"420",674,264,318
"421",872,874,345
"422",956,425,413
"423",527,858,745
"424",302,544,236
"425",61,169,589
"426",953,839,805
"427",190,802,359
"428",48,462,672
"429",401,513,254
"430",102,284,761
"431",591,761,284
"432",45,254,513
"433",270,672,462
"434",58,359,802
"435",679,805,839
"436",634,589,169
"437",361,236,544
"438",55,745,858
"439",489,413,425
"440",29,345,874
"441",534,318,264
"442",166,608,576
"443",599,944,649
"444",942,299,210
"445",824,936,12
"446",957,388,393
"447",360,226,894
"448",524,389,330
"449",868,157,735
"450",42,304,159
"451",909,165,328
"452",176,617,134
"453",704,387,688
"454",327,733,673
"455",747,668,659
"456",27,743,238
"457",495,482,665
"458",461,746,208
"459",613,530,402
"460",338,687,356
"461",211,13,343
"462",415,133,53
"463",367,99,601
"464",444,280,682
"465",940,923,581
"466",349,178,618
"467",729,479,155
"468",520,380,139
"469",841,652,487
"470",341,397,825
"471",233,804,168
"472",628,466,439
"473",67,852,409
"474",144,880,473
"475",18,124,149
"476",106,755,329
"477",624,452,789
"478",384,245,249
"479",876,418,751
"480",538,809,403
"481",708,771,574
"482",797,7,136
"483",562,900,485
"484",406,306,285
"485",442,76,806
"486",531,949,639
"487",610,5,605
"488",143,781,115
"489",905,592,446
"490",616,907,947
"491",947,801,905
"492",446,547,616
"493",115,871,143
"494",605,312,610
"495",285,4,531
"496",806,711,442
"497",639,183,406
"498",485,505,562
"499",136,904,797
"500",574,705,708
"501",403,56,538
"502",751,584,876
"503",249,561,61
"504",789,556,953
"505",473,334,48
"506",149,921,190
"507",329,566,401
"508",409,790,102
"509",439,150,591
"510",168,122,45
"511",825,223,270
"512",487,557,58
"513",139,207,679
"514",155,108,634
"515",618,532,361
"516",682,834,176
"517",581,267,704
"518",693,800,327
"519",430,593,747
"520",683,498,461
"521",732,458,495
"522",470,559,27
"523",502,833,613
"524",140,774,338
"525",351,194,211
"526",129,855,415
"527",451,60,367
"528",428,400,444
"529",837,819,940
"530",499,283,349
"531",390,235,729
"532",255,504,520
"533",70,586,841
"534",396,784,341
"535",23,121,233
"536",924,50,868
"537",478,763,42
"538",276,565,909
"539",104,239,524
"540",643,696,360
"541",474,569,957
"542",731,677,55
"543",132,817,489
"544",81,62,29
