"X10000","X20000","X30000"
"355",377,411,201
"356",51,281,453
"357",292,16,333
"358",5,137,226
"359",256,389,52
"360",0,96,69
"361",462,237,469
"362",441,26,90
"363",386,213,198
"364",448,358,186
"365",63,124,64
"366",68,115,343
"367",80,91,82
"368",295,475,361
"369",442,278,305
"370",476,202,95
"371",336,81,285
"372",347,325,355
"373",443,326,304
"374",181,426,284
"375",117,169,136
"376",73,18,345
"377",48,352,459
"378",399,70,190
"379",65,13,380
"380",125,167,25
"381",402,56,409
"382",143,250,84
"383",470,262,180
"384",254,478,138
"385",126,303,35
"386",148,466,439
"387",446,259,171
"388",170,436,253
"389",200,60,230
"390",457,139,55
"391",239,477,92
"392",19,381,32
"393",338,204,236
"394",434,387,123
"395",15,161,168
"396",155,300,43
"397",248,120,385
"398",423,413,42
"399",265,429,473
"400",223,154,77
"401",227,11,271
"402",207,383,24
"403",210,247,384
"404",353,105,83
"405",179,360,252
"406",362,62,350
"407",17,309,66
"408",47,261,263
"409",216,293,99
"410",29,67,367
"411",9,225,340
"412",33,240,76
"413",296,41,425
"414",61,111,10
"415",403,291,424
"416",196,189,266
"417",414,416,185
"418",157,116,366
"419",368,94,339
"420",393,341,474
"421",327,233,130
"422",302,85,2
"423",44,45,455
"424",195,121,420
"425",37,445,342
"426",127,449,241
"427",103,145,334
"428",460,280,379
"429",218,106,173
"430",20,160,374
"431",335,220,359
"432",258,71,289
"433",463,269,183
"434",395,323,328
"435",177,430,1
"436",356,398,378
"437",238,78,435
"438",411,471,112
"439",281,34,49
"440",16,176,101
"441",237,31,140
"442",26,158,433
"443",96,219,260
"444",137,268,132
"445",389,375,58
"446",213,244,135
"447",358,348,290
"448",124,272,153
"449",115,392,214
"450",91,251,203
"451",326,418,406
"452",325,119,191
"453",81,128,162
"454",202,311,320
"455",278,438,104
"456",475,432,221
"457",426,388,149
"458",169,159,297
"459",18,193,431
"460",352,88,205
"461",70,465,382
"462",13,321,212
"463",167,197,310
"464",478,294,54
"465",250,150,199
