"X10000","X20000","X30000"
"165",18,472,422
"166",426,151,228
"167",326,365,3
"168",325,6,306
"169",81,57,447
"170",202,215,206
"171",278,222,322
"172",475,344,316
"173",91,229,7
"174",115,165,397
"175",124,8,246
"176",358,224,12
"177",223,313,53
"178",394,301,372
"179",184,404,318
"180",23,371,234
"181",440,464,146
"182",377,72,50
"183",51,92,217
"184",292,55,363
"185",5,230,249
"186",256,253,156
"187",0,171,100
"188",462,439,472
"189",441,35,151
"190",386,138,365
"191",448,180,6
"192",63,84,57
"193",73,409,215
"194",48,25,222
"195",399,380,344
"196",65,459,229
"197",125,190,165
"198",402,136,8
"199",143,345,224
"200",470,284,313
"201",126,304,301
"202",254,355,404
"203",446,285,371
"204",148,95,464
"205",170,361,72
"206",200,305,467
"207",239,82,174
"208",457,343,209
"209",19,64,28
"210",338,186,39
"211",434,198,21
"212",15,90,283
"213",155,69,437
"214",248,469,468
"215",423,52,282
"216",61,226,401
"217",296,333,479
"218",33,453,270
"219",9,201,74
"220",29,408,245
"221",216,141,231
"222",47,264,312
"223",17,337,109
"224",362,451,27
"225",179,93,163
"226",353,110,274
"227",210,36,113
"228",207,391,331
"229",227,319,79
"230",213,46,400
"231",26,14,188
"232",237,175,287
"233",96,59,75
"234",389,89,147
"235",137,98,107
"236",16,102,38
"237",281,351,108
"238",411,349,452
"239",177,370,412
"240",356,142,456
"241",238,396,454
"242",258,166,172
"243",463,97,114
"244",218,194,192
"245",335,376,450
"246",20,354,242
"247",395,133,144
"248",460,87,276
"249",127,419,4
"250",103,164,134
"251",37,315,299
"252",195,267,211
"253",44,129,324
"254",393,277,265
"255",302,317,423
"256",327,307,155
"257",368,407,248
"258",157,422,403
"259",414,228,296
"260",196,3,61
"261",403,306,33
"262",265,447,9
"263",324,206,29
"264",211,322,216
"265",299,316,47
"266",4,7,17
"267",134,397,362
"268",276,246,179
"269",144,12,353
"270",242,53,210
"271",450,372,207
"272",192,318,227
"273",114,213,223
"274",172,26,394
"275",454,237,184
"276",456,96,440
"277",412,389,23
"278",163,137,377
"279",274,16,51
"280",113,281,292
"281",331,411,5
"282",79,177,256
"283",400,356,0
"284",188,238,462
"285",287,258,441
"286",75,463,386
"287",147,395,448
"288",107,20,63
"289",38,335,68
"290",108,218,80
"291",452,460,295
"292",283,103,442
"293",437,127,476
"294",468,37,336
"295",270,195,347
"296",245,44,443
"297",231,302,181
"298",312,393,117
"299",109,327,73
"300",27,368,48
"301",74,157,399
"302",479,414,65
"303",401,196,125
"304",282,15,402
"305",21,434,143
"306",39,338,470
"307",28,19,126
"308",209,457,254
"309",174,239,148
"310",467,200,446
"311",92,170,170
"312",55,446,200
"313",230,148,239
"314",138,254,457
"315",35,126,19
"316",439,470,338
"317",171,143,434
"318",253,402,15
"319",25,125,196
"320",409,65,414
"321",84,399,157
"322",180,48,368
"323",380,73,327
"324",136,117,393
"325",304,181,302
"326",284,443,44
"327",345,347,195
"328",459,336,37
"329",190,476,127
"330",355,442,103
"331",95,295,460
"332",285,80,218
"333",361,68,335
"334",305,63,20
"335",82,448,395
"336",343,386,463
"337",64,441,258
"338",186,462,238
"339",198,0,356
"340",90,256,177
"341",469,5,411
"342",69,292,281
"343",52,51,16
"344",226,377,137
"345",333,23,389
"346",453,440,96
"347",201,184,237
"348",408,394,26
"349",141,223,213
"350",337,358,358
"351",264,124,124
"352",451,115,115
"353",93,91,91
"354",110,475,475
"355",36,278,278
"356",391,202,202
"357",319,81,81
"358",142,325,325
"359",97,326,326
"360",133,426,426
"361",87,169,169
"362",307,18,18
"363",317,352,352
"364",277,70,70
"365",129,13,13
"366",267,167,167
"367",315,56,56
"368",164,250,250
"369",419,262,262
"370",354,478,478
"371",376,303,303
"372",194,466,466
"373",396,259,259
"374",166,436,436
"375",370,60,60
"376",349,139,139
"377",351,477,477
"378",102,381,381
"379",98,204,204
"380",89,387,387
"381",59,161,161
"382",175,300,300
"383",14,120,120
"384",46,122,122
"385",346,346,346
"386",373,373,373
"387",22,22,22
"388",390,390,390
"389",288,288,288
"390",332,332,332
"391",308,308,308
"392",40,40,40
"393",417,417,417
"394",405,405,405
"395",461,461,461
"396",428,428,428
"397",255,255,255
"398",413,413,413
"399",429,429,429
"400",154,154,154
"401",11,11,11
"402",383,383,383
"403",247,247,247
"404",105,105,105
"405",360,360,360
"406",62,62,62
"407",309,309,309
"408",261,261,261
"409",329,329,293
"410",152,152,67
"411",427,427,225
"412",364,364,240
"413",182,421,41
"414",187,279,111
"415",178,298,291
"416",208,275,189
"417",314,131,416
"418",357,357,116
"419",131,314,94
"420",275,208,341
"421",298,178,233
"422",279,187,85
"423",421,182,45
"424",150,150,121
"425",197,294,445
"426",294,197,449
"427",465,465,145
"428",321,321,280
"429",88,88,106
"430",159,193,160
"431",193,159,220
"432",388,388,71
"433",432,432,269
"434",438,438,323
"435",311,311,430
"436",128,128,398
"437",119,119,78
"438",251,418,471
"439",418,251,34
"440",392,392,176
"441",272,272,31
"442",348,348,158
"443",471,244,219
"444",34,375,268
"445",176,268,375
"446",31,219,244
"447",158,158,348
"448",219,31,272
"449",268,176,392
"450",375,34,251
"451",244,471,418
"452",78,78,119
"453",398,398,128
"454",430,430,311
"455",323,323,438
"456",269,269,432
"457",71,71,388
"458",220,220,159
"459",160,160,193
"460",106,106,88
"461",280,280,321
"462",145,145,465
"463",449,449,197
"464",445,445,294
"465",121,121,150
"466",45,45,182
"467",85,85,187
"468",233,233,178
"469",341,341,208
"470",94,94,314
"471",293,116,152
"472",67,416,329
"473",225,189,427
"474",240,291,364
"475",41,111,421
"476",111,41,279
"477",291,240,298
"478",189,225,275
"479",416,67,131
"480",116,293,357
