"X10000","X20000","X30000"
"1",339,334,257
"2",130,173,330
"3",2,374,118
"4",455,359,415
"5",334,289,243
"6",173,183,86
"7",374,1,458
"8",359,49,30
"9",289,140,273
"10",183,433,410
"11",1,260,235
"12",49,132,232
"13",140,58,369
"14",433,135,286
"15",260,290,444
"16",132,153,54
"17",58,214,205
"18",135,203,212
"19",290,406,310
"20",153,191,199
"21",214,320,382
"22",406,221,431
"23",203,205,297
"24",191,212,149
"25",162,310,104
"26",104,54,221
"27",149,444,320
"28",297,286,191
"29",431,369,162
"30",382,232,406
"31",199,235,203
"32",257,410,214
"33",330,273,153
"34",118,30,290
"35",415,458,135
"36",243,86,58
"37",273,243,132
"38",410,415,260
"39",86,118,433
"40",458,330,140
"41",30,257,101
"42",232,199,49
"43",369,382,112
"44",235,431,378
"45",286,297,435
"46",444,149,1
"47",54,104,328
"48",310,162,183
"49",212,101,289
"50",205,112,359
"51",221,435,374
"52",320,378,173
"53",101,328,379
"54",112,379,334
"55",435,241,241
"56",378,342,342
"57",328,420,420
"58",379,455,455
"59",241,2,2
"60",342,130,130
"61",420,474,474
"62",474,339,339
"63",366,366,366
"64",185,185,185
"65",266,266,266
"66",424,424,424
"67",10,10,10
"68",425,425,425
"69",76,76,76
"70",340,340,340
"71",367,367,367
"72",99,99,99
"73",263,263,263
"74",350,66,66
"75",66,350,350
"76",252,252,252
"77",271,83,83
"78",384,384,384
"79",83,24,24
"80",24,271,271
"81",77,77,77
"82",473,473,473
"83",42,42,42
"84",385,385,385
"85",43,43,43
"86",123,168,168
"87",32,123,123
"88",236,236,236
"89",168,32,32
"90",72,467,92
"91",464,174,55
"92",371,209,230
"93",313,28,253
"94",301,39,171
"95",404,21,439
"96",224,283,35
"97",165,468,138
"98",156,437,180
"99",100,282,84
"100",151,401,409
"101",472,479,25
"102",365,270,380
"103",6,74,190
"104",57,245,459
"105",215,231,345
"106",222,312,136
"107",344,109,284
"108",229,27,304
"109",8,163,355
"110",249,274,285
"111",363,113,95
"112",217,331,361
"113",50,79,305
"114",146,400,82
"115",53,188,343
"116",12,287,64
"117",246,75,186
"118",397,147,198
"119",7,107,90
"120",316,38,69
"121",322,108,469
"122",447,452,52
"123",3,412,226
"124",228,456,333
"125",407,454,453
"126",422,172,201
"127",306,114,408
"128",206,192,141
"129",372,450,264
"130",318,242,337
"131",234,144,451
"132",117,276,93
"133",181,4,110
"134",443,134,36
"135",347,299,391
"136",336,211,319
"137",476,324,46
"138",442,265,14
"139",295,423,175
"140",68,155,59
"141",80,248,89
"142",122,403,98
"143",120,296,102
"144",300,61,351
"145",161,33,349
"146",387,9,142
"147",204,29,370
"148",381,216,97
"149",477,47,396
"150",139,17,166
"151",60,362,194
"152",259,179,376
"153",436,353,133
"154",466,210,354
"155",303,207,87
"156",478,227,419
"157",262,234,164
"158",250,146,315
"159",56,50,267
"160",167,217,129
"161",13,363,277
"162",70,249,317
"163",352,156,307
"164",169,100,407
